年月日,時刻コード,始値（円/kWh）,高値（円/kWh）,安値（円/kWh）,終値（円/kWh）,平均（円/kWh）,約定量合計（MWh/h）,約定件数
2026/04/01,1,20.10,22.61,8.52,9.48,16.72,602.1,140
2026/04/01,2,18.94,22.57,7.63,19.44,16.85,640.7,150
2026/04/01,3,16.50,18.60,8.78,14.83,15.20,1138.6,186
2026/04/01,4,16.50,19.45,8.28,15.55,15.51,1692.5,237
2026/04/01,5,16.50,20.07,8.53,16.17,15.71,1532.5,227
2026/04/01,6,16.50,21.93,8.53,15.93,16.00,1504.5,247
2026/04/01,7,19.30,24.00,7.00,7.00,15.60,1240.5,231
2026/04/01,8,19.60,23.78,6.86,16.02,16.55,1411.9,255
2026/04/01,9,19.71,23.71,10.00,16.92,16.77,1248.6,266
2026/04/01,10,19.80,23.91,10.00,16.97,17.02,1252.0,278
2026/04/01,11,20.53,21.53,9.50,17.09,16.61,1239.8,261
2026/04/01,12,20.70,21.80,7.00,12.21,15.62,1154.6,247
2026/04/01,13,21.04,21.04,6.86,18.49,16.04,1201.9,276
2026/04/01,14,20.72,21.01,9.50,16.08,16.67,1113.6,300
2026/04/01,15,20.00,20.00,9.50,18.88,16.21,1494.8,326
2026/04/01,16,19.60,20.58,7.49,19.71,15.85,1375.1,324
2026/04/01,17,16.00,25.13,9.02,24.90,17.75,1673.1,339
2026/04/01,18,11.91,32.40,9.01,23.48,19.54,1847.2,304
2026/04/01,19,22.76,23.06,7.64,7.79,15.15,2913.6,452
2026/04/01,20,9.90,23.39,9.00,9.11,16.44,2498.2,444
2026/04/01,21,7.91,25.01,7.49,10.90,18.13,2372.3,421
2026/04/01,22,7.91,25.01,6.00,11.34,18.64,2216.1,435
2026/04/01,23,7.91,31.22,6.00,13.50,20.32,2388.7,464
2026/04/01,24,7.73,35.40,5.80,24.91,21.12,2199.4,425
2026/04/01,25,7.91,30.00,6.00,11.99,19.26,1998.6,433
2026/04/01,26,30.22,31.22,6.78,8.77,19.71,2021.7,438
2026/04/01,27,40.00,44.70,6.70,11.76,29.46,2375.6,446
2026/04/01,28,39.70,45.40,7.00,16.30,30.97,2535.8,479
2026/04/01,29,39.70,43.51,10.00,14.63,30.73,2472.2,466
2026/04/01,30,39.70,42.62,7.55,11.00,31.31,2356.1,458
2026/04/01,31,39.70,42.89,6.73,15.41,28.81,2222.9,454
2026/04/01,32,32.00,32.00,6.76,15.01,22.80,2009.9,463
2026/04/01,33,32.58,32.58,7.51,15.00,22.67,1565.0,408
2026/04/01,34,35.83,35.83,6.78,35.83,25.19,1545.9,416
2026/04/01,35,32.00,32.11,6.76,26.50,24.42,1270.5,414
2026/04/01,36,39.70,43.44,6.00,14.55,29.34,1784.3,458
2026/04/01,37,38.00,39.60,5.85,21.50,28.86,1671.0,408
2026/04/01,38,38.00,38.54,5.83,27.95,30.14,1695.2,398
2026/04/01,39,31.70,31.90,10.05,31.90,26.62,1346.9,390
2026/04/01,40,31.03,31.03,7.58,25.07,25.15,1232.8,393
2026/04/01,41,23.61,24.01,7.64,18.28,21.72,1183.4,424
2026/04/01,42,23.80,24.38,7.64,24.32,21.71,1135.2,393
2026/04/01,43,23.50,23.55,7.62,20.30,18.92,2028.2,506
2026/04/01,44,22.10,22.28,7.91,22.18,19.00,1742.7,413
2026/04/01,45,21.40,21.50,6.00,18.49,18.44,1539.6,431
2026/04/01,46,21.20,21.37,7.60,16.22,16.91,1602.3,397
2026/04/01,47,21.10,21.40,10.53,17.25,17.85,1488.3,415
2026/04/01,48,20.85,20.95,8.80,16.51,17.05,1357.8,382
2026/04/02,1,21.47,22.07,0.01,11.29,15.22,821.7,156
2026/04/02,2,19.92,24.12,8.29,9.36,17.20,691.0,141
2026/04/02,3,19.67,39.08,8.89,19.78,21.90,538.8,128
2026/04/02,4,19.56,39.89,9.01,18.99,19.02,716.7,147
2026/04/02,5,18.33,39.90,0.11,16.94,17.29,868.5,152
2026/04/02,6,19.53,40.17,10.40,18.14,17.96,866.2,157
2026/04/02,7,19.71,40.25,10.30,19.82,20.51,718.4,144
2026/04/02,8,19.61,41.87,10.30,18.30,21.02,734.0,148
2026/04/02,9,15.37,40.73,7.95,16.17,22.91,455.9,125
2026/04/02,10,20.25,39.04,7.82,17.89,20.98,579.8,154
2026/04/02,11,21.99,38.85,7.83,16.25,22.32,507.0,136
2026/04/02,12,21.98,40.28,7.80,22.69,23.54,510.8,126
2026/04/02,13,22.87,26.08,9.30,14.81,17.37,1401.0,223
2026/04/02,14,25.00,26.01,9.30,13.51,17.70,1519.0,260
2026/04/02,15,31.93,32.00,8.01,16.55,21.70,1050.8,238
2026/04/02,16,29.00,31.90,3.64,3.64,22.00,850.5,230
2026/04/02,17,47.00,47.00,6.84,31.51,24.28,1174.3,267
2026/04/02,18,31.00,31.90,6.88,25.03,20.50,754.8,249
2026/04/02,19,23.47,25.47,1.80,16.01,17.84,847.7,248
2026/04/02,20,23.88,25.18,0.01,16.00,17.71,1208.2,315
2026/04/02,21,23.11,23.52,0.01,6.23,13.49,767.8,260
2026/04/02,22,7.00,26.09,0.01,4.52,13.89,882.1,274
2026/04/02,23,3.00,22.70,0.01,13.50,10.53,794.6,267
2026/04/02,24,45.00,45.60,0.01,1.77,18.34,1258.5,316
2026/04/02,25,0.01,25.34,0.01,18.00,8.76,1312.5,340
2026/04/02,26,22.68,22.78,0.01,0.02,9.04,1161.1,308
2026/04/02,27,23.62,23.62,0.01,13.52,12.16,996.7,301
2026/04/02,28,23.32,23.32,0.01,9.00,12.35,1138.6,329
2026/04/02,29,10.00,23.41,0.01,16.01,10.32,1549.5,354
2026/04/02,30,22.01,22.51,0.01,2.00,10.69,1346.6,364
2026/04/02,31,1.80,21.89,0.01,21.82,13.41,941.5,354
2026/04/02,32,21.87,22.60,0.01,7.99,13.72,1317.4,393
2026/04/02,33,22.84,23.25,6.00,16.01,14.38,1372.0,356
2026/04/02,34,25.60,30.00,8.68,18.00,21.49,1261.2,372
2026/04/02,35,25.06,25.06,9.03,14.99,19.12,1121.2,348
2026/04/02,36,23.70,23.70,11.39,15.00,18.23,1454.8,385
2026/04/02,37,24.18,24.18,13.76,22.69,19.51,1627.9,353
2026/04/02,38,17.91,24.20,12.00,15.70,19.20,1714.5,361
2026/04/02,39,18.78,27.28,12.00,19.30,21.10,1771.2,369
2026/04/02,40,24.30,27.00,7.98,19.00,22.05,1422.0,348
2026/04/02,41,18.65,27.00,7.74,18.01,19.74,1500.3,389
2026/04/02,42,22.93,26.67,7.73,21.00,20.16,1455.9,377
2026/04/02,43,18.30,30.00,6.81,11.00,20.65,1440.1,354
2026/04/02,44,38.00,40.74,10.50,25.00,24.18,1589.6,350
2026/04/02,45,17.74,39.88,10.30,10.99,22.38,1740.6,322
2026/04/02,46,38.00,40.63,0.01,9.00,21.76,1641.8,301
2026/04/02,47,29.90,30.00,10.00,21.02,20.29,1555.1,340
2026/04/02,48,23.47,24.27,7.62,11.00,18.36,1387.3,327
2026/04/03,1,22.39,25.79,0.01,10.80,20.13,1211.9,196
2026/04/03,2,21.27,24.67,0.01,21.40,19.27,1023.2,161
2026/04/03,3,15.40,22.33,5.51,10.60,15.19,872.5,130
2026/04/03,4,20.85,24.25,6.93,18.01,18.83,974.3,140
2026/04/03,5,21.85,25.25,6.95,18.67,20.56,895.4,138
2026/04/03,6,22.57,24.07,6.95,20.01,18.26,809.6,148
2026/04/03,7,24.00,24.50,6.95,19.00,20.72,1057.3,157
2026/04/03,8,24.46,24.96,6.95,17.71,20.42,1072.7,169
2026/04/03,9,30.53,31.43,6.95,20.07,22.75,818.7,170
2026/04/03,10,9.41,32.46,6.95,19.01,22.86,838.8,182
2026/04/03,11,33.71,39.11,6.95,18.73,28.33,1132.7,213
2026/04/03,12,33.11,40.11,6.94,21.90,29.74,1495.0,243
2026/04/03,13,34.00,36.66,16.00,36.55,28.91,1124.9,241
2026/04/03,14,23.43,24.43,6.57,15.01,18.78,1109.4,196
2026/04/03,15,17.51,21.64,1.80,10.01,16.36,790.5,201
2026/04/03,16,1.00,20.24,0.02,6.01,13.70,811.5,201
2026/04/03,17,19.92,20.16,0.10,5.01,10.83,1209.7,225
2026/04/03,18,13.40,22.92,0.01,5.88,10.37,937.3,218
2026/04/03,19,10.00,10.06,0.01,7.65,8.14,1199.9,239
2026/04/03,20,2.05,24.55,0.01,0.21,7.19,1734.4,319
2026/04/03,21,11.40,18.92,0.01,8.00,5.31,1704.0,347
2026/04/03,22,0.01,13.10,0.01,0.20,4.86,1659.1,317
2026/04/03,23,0.01,7.40,0.01,0.20,2.66,1337.5,275
2026/04/03,24,0.01,4.00,0.01,0.12,1.89,1619.5,294
2026/04/03,25,0.01,4.70,0.01,0.12,1.39,1187.4,270
2026/04/03,26,3.00,4.50,0.01,4.50,1.16,1183.5,249
2026/04/03,27,0.01,13.00,0.01,11.85,7.05,1168.6,281
2026/04/03,28,1.00,12.50,0.01,0.20,6.46,1351.4,313
2026/04/03,29,8.68,8.68,0.01,0.21,4.38,1713.4,350
2026/04/03,30,0.01,10.10,0.01,8.01,5.69,1562.2,316
2026/04/03,31,0.01,14.65,0.01,3.55,6.37,1552.5,340
2026/04/03,32,2.65,19.88,0.01,5.01,11.20,1515.6,355
2026/04/03,33,100.00,100.00,0.01,15.01,14.88,1244.9,305
2026/04/03,34,1.02,21.77,0.31,15.01,16.60,1394.5,309
2026/04/03,35,22.03,22.38,1.80,21.63,17.99,1090.1,274
2026/04/03,36,19.56,30.72,0.10,20.01,23.10,1108.2,329
2026/04/03,37,30.53,31.14,6.00,23.11,24.76,1142.2,323
2026/04/03,38,24.77,26.00,7.13,20.05,22.79,1492.0,347
2026/04/03,39,45.00,50.98,7.03,50.01,39.07,1526.8,307
2026/04/03,40,40.01,50.00,7.03,50.00,35.67,1253.1,301
2026/04/03,41,45.00,51.50,6.93,35.01,37.46,1659.7,350
2026/04/03,42,37.00,44.00,6.95,35.00,30.26,1985.1,369
2026/04/03,43,35.32,37.92,7.15,37.92,27.16,1546.6,325
2026/04/03,44,29.10,29.97,6.95,18.20,18.00,1634.8,329
2026/04/03,45,22.70,22.70,5.98,18.71,17.60,1034.2,249
2026/04/03,46,100.00,100.00,6.22,20.10,19.26,1774.2,278
2026/04/03,47,24.10,25.09,6.28,24.90,18.93,1157.7,268
2026/04/03,48,24.30,25.30,6.22,20.00,18.12,1323.7,293
2026/04/04,1,20.94,21.05,0.01,15.47,15.31,498.9,117
2026/04/04,2,21.40,22.10,0.01,10.80,15.39,439.4,124
2026/04/04,3,20.20,23.60,0.01,14.01,15.87,478.8,123
2026/04/04,4,19.90,22.28,1.95,16.44,15.32,474.8,102
2026/04/04,5,20.00,23.90,8.00,23.90,16.40,485.2,122
2026/04/04,6,20.02,23.90,6.91,18.12,17.35,442.5,114
2026/04/04,7,20.00,27.71,6.86,14.67,18.37,540.5,124
2026/04/04,8,20.00,33.35,6.86,19.61,18.99,718.6,144
2026/04/04,9,20.15,33.49,6.86,14.27,20.48,549.5,110
2026/04/04,10,20.58,29.10,10.59,14.01,17.54,699.7,139
2026/04/04,11,20.57,28.90,6.86,14.65,16.50,783.0,144
2026/04/04,12,20.00,22.31,6.86,20.01,15.81,691.9,140
2026/04/04,13,21.00,21.46,8.88,17.09,15.25,904.3,175
2026/04/04,14,21.00,21.01,6.86,14.01,16.97,710.5,147
2026/04/04,15,19.98,23.98,6.86,11.01,17.68,742.9,142
2026/04/04,16,19.02,21.01,5.00,9.40,16.65,699.8,140
2026/04/04,17,5.01,24.05,4.90,9.99,15.97,855.3,185
2026/04/04,18,3.55,21.16,2.95,4.99,16.50,632.7,160
2026/04/04,19,5.01,21.78,5.00,12.01,16.41,700.6,169
2026/04/04,20,25.00,25.18,4.37,18.53,18.63,829.6,191
2026/04/04,21,21.38,21.48,3.70,17.09,15.63,890.5,236
2026/04/04,22,30.72,31.72,5.08,12.62,22.86,1278.4,258
2026/04/04,23,20.39,22.02,0.01,10.19,15.92,896.1,230
2026/04/04,24,33.00,37.06,2.50,14.31,23.14,1079.6,256
2026/04/04,25,32.00,32.92,0.01,9.04,21.85,975.7,264
2026/04/04,26,14.89,28.77,0.01,28.76,21.47,752.6,236
2026/04/04,27,13.04,29.11,0.01,15.20,21.30,745.2,212
2026/04/04,28,21.69,21.69,0.01,12.78,17.37,813.6,204
2026/04/04,29,29.47,29.57,0.01,17.01,21.76,726.1,242
2026/04/04,30,28.76,28.87,0.01,16.33,21.64,773.7,241
2026/04/04,31,32.00,35.70,0.01,17.01,25.82,1277.1,314
2026/04/04,32,34.00,38.57,0.01,9.53,28.47,1302.9,313
2026/04/04,33,32.81,36.54,0.01,19.08,25.04,1151.7,298
2026/04/04,34,29.11,32.21,0.01,17.48,22.56,922.7,255
2026/04/04,35,29.47,32.57,0.01,18.83,19.78,1247.8,286
2026/04/04,36,28.66,31.51,0.01,18.59,19.17,1410.3,314
2026/04/04,37,21.25,30.00,5.91,30.00,16.76,1315.5,340
2026/04/04,38,18.75,35.70,5.94,18.50,17.66,1416.5,322
2026/04/04,39,18.74,35.50,5.93,18.99,16.80,1541.0,328
2026/04/04,40,18.54,25.00,5.90,18.00,15.68,1430.2,342
2026/04/04,41,16.79,36.09,0.01,15.15,17.63,1314.5,320
2026/04/04,42,16.59,24.03,0.01,14.47,16.65,1134.6,269
2026/04/04,43,20.21,25.00,0.01,14.57,17.03,1745.4,340
2026/04/04,44,18.64,25.00,0.01,14.67,16.55,1281.8,262
2026/04/04,45,17.93,22.03,0.01,22.03,14.89,1055.6,257
2026/04/04,46,17.15,22.78,0.01,19.15,15.57,1086.4,254
2026/04/04,47,15.78,25.00,0.01,14.47,15.87,1233.4,247
2026/04/04,48,17.54,22.14,0.01,16.60,16.09,663.6,221
2026/04/05,1,10.53,999.00,0.01,100.00,174.49,971.2,142
2026/04/05,2,10.15,999.00,0.01,100.00,105.31,760.1,122
2026/04/05,3,10.11,999.00,0.01,30.00,102.93,758.6,127
2026/04/05,4,10.11,999.00,0.01,30.00,98.76,798.8,132
2026/04/05,5,10.15,23.13,0.01,19.07,19.24,683.5,123
2026/04/05,6,19.25,23.16,0.01,20.79,19.56,648.1,119
2026/04/05,7,14.00,23.64,0.01,18.23,18.76,738.2,135
2026/04/05,8,19.34,23.19,0.01,19.34,18.41,825.5,142
2026/04/05,9,16.43,23.35,0.01,18.92,17.82,1229.7,178
2026/04/05,10,17.87,23.13,0.01,12.01,19.83,704.0,121
2026/04/05,11,19.10,22.96,0.01,16.64,17.31,898.9,153
2026/04/05,12,18.74,22.94,0.01,12.72,19.36,691.9,127
2026/04/05,13,17.35,21.22,0.01,14.49,15.49,1315.8,195
2026/04/05,14,13.70,20.99,0.01,14.00,15.36,769.7,167
2026/04/05,15,12.54,17.04,0.01,9.08,13.57,1205.3,168
2026/04/05,16,1.80,30.97,0.01,8.19,11.44,1128.4,190
2026/04/05,17,0.01,24.48,0.01,8.19,7.01,1923.7,283
2026/04/05,18,0.01,22.88,0.01,4.01,4.41,2549.1,359
2026/04/05,19,0.01,21.33,0.01,2.96,7.12,1101.9,209
2026/04/05,20,0.01,21.56,0.01,15.36,7.49,1017.7,204
2026/04/05,21,0.01,22.46,0.01,15.45,6.25,1132.7,264
2026/04/05,22,0.01,21.34,0.01,15.00,5.98,1255.1,281
2026/04/05,23,0.01,21.26,0.01,12.56,6.10,975.9,224
2026/04/05,24,0.01,30.00,0.01,30.00,6.18,1100.5,238
2026/04/05,25,0.01,21.66,0.01,12.85,6.99,1078.8,197
2026/04/05,26,0.01,23.75,0.01,0.01,6.92,967.0,190
2026/04/05,27,0.01,30.00,0.01,0.01,7.32,1421.2,217
2026/04/05,28,0.01,30.00,0.01,30.00,6.75,1059.3,240
2026/04/05,29,0.01,200.00,0.01,1.10,12.16,1195.2,277
2026/04/05,30,0.01,24.28,0.01,2.95,7.92,1055.3,219
2026/04/05,31,0.01,30.00,0.01,7.02,8.16,1104.2,238
2026/04/05,32,0.01,30.00,0.01,2.17,5.99,1643.7,325
2026/04/05,33,0.01,30.00,0.01,4.70,5.37,2025.0,356
2026/04/05,34,28.69,48.01,1.00,5.80,11.19,1508.2,267
2026/04/05,35,7.33,30.00,5.82,8.49,18.16,768.3,194
2026/04/05,36,28.16,28.52,1.54,7.03,15.30,787.7,216
2026/04/05,37,27.93,29.05,7.52,28.94,15.86,896.1,238
2026/04/05,38,32.29,35.00,7.50,26.21,16.23,961.6,226
2026/04/05,39,27.99,29.50,6.90,14.33,15.14,1031.5,231
2026/04/05,40,27.30,29.29,7.00,14.57,15.16,1076.5,240
2026/04/05,41,28.00,28.23,7.00,13.93,14.83,959.5,220
2026/04/05,42,28.00,28.41,6.01,28.41,13.90,1164.7,240
2026/04/05,43,28.00,32.04,6.73,20.51,17.73,1292.9,273
2026/04/05,44,25.00,27.62,5.99,8.68,17.53,892.9,199
2026/04/05,45,14.46,25.06,5.97,21.19,15.04,763.7,173
2026/04/05,46,9.57,25.45,5.92,9.37,12.07,805.3,181
2026/04/05,47,20.70,25.00,5.92,19.20,13.78,850.4,188
2026/04/05,48,19.03,22.84,5.91,6.95,15.21,475.3,165
2026/04/06,1,14.53,18.72,1.00,13.43,10.15,643.7,82
2026/04/06,2,17.53,18.00,1.00,18.00,11.81,430.6,73
2026/04/06,3,17.00,17.89,1.00,17.00,11.90,440.8,71
2026/04/06,4,16.88,17.88,1.00,17.00,13.02,354.5,72
2026/04/06,5,16.80,18.17,1.00,14.00,14.83,385.1,61
2026/04/06,6,17.16,18.76,1.00,14.89,15.06,346.3,64
2026/04/06,7,18.88,22.50,5.78,17.00,15.20,464.6,91
2026/04/06,8,16.75,22.50,5.81,18.27,15.80,348.5,101
2026/04/06,9,17.15,23.00,7.65,18.00,16.02,339.3,90
2026/04/06,10,17.34,23.00,7.61,12.61,15.51,341.2,84
2026/04/06,11,19.80,23.50,7.61,19.90,17.18,426.1,103
2026/04/06,12,20.10,24.00,7.61,20.19,16.99,414.3,111
2026/04/06,13,19.41,19.61,7.61,14.01,15.81,640.7,108
2026/04/06,14,16.76,22.43,6.63,18.71,17.13,643.7,149
2026/04/06,15,15.49,22.09,7.69,16.97,16.29,685.8,153
2026/04/06,16,16.15,26.82,0.01,26.82,15.61,600.4,149
2026/04/06,17,9.25,30.00,0.01,11.33,11.08,643.1,126
2026/04/06,18,9.79,26.85,0.01,8.21,13.51,977.0,159
2026/04/06,19,8.10,9.66,0.01,7.61,7.85,851.9,187
2026/04/06,20,1.80,9.18,0.01,3.04,4.87,716.4,199
2026/04/06,21,1.80,5.50,0.01,5.50,3.36,912.3,216
2026/04/06,22,1.80,5.00,0.01,3.00,2.42,613.4,192
2026/04/06,23,0.01,9.68,0.01,8.51,6.13,860.3,229
2026/04/06,24,0.01,17.16,0.01,10.00,7.89,602.0,193
2026/04/06,25,0.01,17.17,0.01,3.14,3.55,886.3,248
2026/04/06,26,0.95,4.95,0.01,0.02,1.91,1004.8,258
2026/04/06,27,0.50,18.00,0.01,6.29,7.03,661.5,222
2026/04/06,28,4.00,17.47,0.01,5.00,9.04,1370.1,239
2026/04/06,29,8.51,21.19,0.01,10.71,12.43,1244.0,291
2026/04/06,30,8.51,21.50,0.01,6.60,11.60,511.7,218
2026/04/06,31,15.00,25.50,0.01,7.59,13.31,606.7,235
2026/04/06,32,11.90,25.89,1.80,15.99,13.46,938.5,251
2026/04/06,33,18.64,28.33,5.25,9.69,19.76,744.4,304
2026/04/06,34,24.55,32.13,5.39,10.04,20.37,1016.6,298
2026/04/06,35,29.90,38.00,1.00,19.00,22.72,1820.0,379
2026/04/06,36,29.90,40.72,1.00,25.13,22.42,1931.1,372
2026/04/06,37,35.62,38.00,1.00,37.19,21.35,2115.3,370
2026/04/06,38,36.47,38.40,8.37,8.65,21.86,1979.9,354
2026/04/06,39,27.61,29.21,5.87,29.11,17.17,1718.6,314
2026/04/06,40,25.50,28.28,7.47,15.94,15.71,1676.3,304
2026/04/06,41,15.64,26.28,7.39,14.14,16.47,1872.5,343
2026/04/06,42,24.51,26.61,7.40,14.47,15.60,1610.7,303
2026/04/06,43,10.35,27.00,8.40,10.45,14.05,1581.0,281
2026/04/06,44,14.26,23.95,8.37,14.36,15.14,1505.1,276
2026/04/06,45,11.90,22.00,1.00,12.00,13.88,1137.1,241
2026/04/06,46,9.50,22.00,1.00,9.50,15.05,878.0,237
2026/04/06,47,10.09,20.37,1.00,19.37,13.96,994.5,203
2026/04/06,48,8.74,20.51,1.00,18.51,17.88,473.7,167
2026/04/07,1,17.61,19.10,8.39,17.76,15.84,337.3,112
2026/04/07,2,18.05,18.45,6.93,18.16,12.91,458.7,118
2026/04/07,3,16.50,18.20,6.93,18.20,13.14,408.1,108
2026/04/07,4,8.93,17.63,7.05,7.05,12.70,555.8,111
2026/04/07,5,16.50,17.55,8.94,17.55,12.76,499.0,95
2026/04/07,6,16.50,18.45,10.19,14.00,15.49,297.0,79
2026/04/07,7,18.06,18.46,8.40,12.80,15.74,318.6,116
2026/04/07,8,16.50,18.17,10.00,18.16,15.02,321.2,131
2026/04/07,9,16.58,18.58,9.03,16.00,15.50,312.2,121
2026/04/07,10,16.71,18.72,9.03,18.00,15.09,400.2,134
2026/04/07,11,18.87,18.97,11.61,18.00,16.05,401.2,148
2026/04/07,12,18.78,19.28,14.30,19.28,16.08,415.5,107
2026/04/07,13,18.96,19.36,14.00,19.36,15.82,393.7,125
2026/04/07,14,19.10,19.10,10.00,14.18,15.95,609.4,127
2026/04/07,15,19.99,19.99,6.90,16.20,16.29,449.6,162
2026/04/07,16,20.19,20.19,6.92,14.00,16.78,661.6,221
2026/04/07,17,21.00,21.78,8.40,16.01,18.34,506.1,218
2026/04/07,18,23.00,24.00,1.00,21.00,17.33,341.8,172
2026/04/07,19,19.25,30.70,8.27,8.27,18.65,409.0,204
2026/04/07,20,100.00,100.00,2.95,17.93,23.76,719.9,211
2026/04/07,21,0.08,100.00,0.01,20.01,24.99,789.3,236
2026/04/07,22,0.08,30.30,0.01,26.01,20.33,674.0,248
2026/04/07,23,0.08,33.50,0.01,23.01,22.26,832.4,265
2026/04/07,24,0.08,38.10,0.01,13.98,25.02,975.6,293
2026/04/07,25,0.08,30.20,0.01,6.01,20.46,754.0,273
2026/04/07,26,0.01,26.70,0.01,18.87,17.65,846.0,306
2026/04/07,27,0.01,32.01,0.01,16.41,18.91,687.4,301
2026/04/07,28,0.08,30.48,0.01,21.86,20.29,744.8,286
2026/04/07,29,0.08,30.30,0.01,16.42,21.09,799.9,284
2026/04/07,30,0.08,29.01,0.01,24.80,14.99,994.4,319
2026/04/07,31,0.08,29.00,0.01,23.01,14.55,1074.1,339
2026/04/07,32,23.80,27.49,0.01,18.41,13.60,1328.0,384
2026/04/07,33,22.00,24.00,6.88,19.00,19.90,1062.8,322
2026/04/07,34,29.47,29.97,6.93,19.50,22.07,1157.2,314
2026/04/07,35,27.50,27.50,6.84,20.50,22.42,830.5,280
2026/04/07,36,35.34,45.00,7.90,45.00,27.47,641.1,224
2026/04/07,37,100.00,100.00,6.87,20.42,30.18,933.5,269
2026/04/07,38,100.00,100.00,6.84,22.56,30.18,925.0,250
2026/04/07,39,100.00,100.00,9.39,22.30,30.80,763.7,242
2026/04/07,40,26.78,30.88,8.04,19.87,22.32,632.3,227
2026/04/07,41,28.58,31.68,6.93,23.20,24.21,737.9,271
2026/04/07,42,22.84,25.94,6.93,18.24,20.78,734.2,249
2026/04/07,43,19.66,22.46,7.03,20.57,18.88,542.1,225
2026/04/07,44,20.85,24.05,6.92,24.05,20.32,759.2,232
2026/04/07,45,21.40,24.65,6.94,19.00,19.96,366.5,168
2026/04/07,46,20.92,24.02,4.00,22.00,19.72,457.6,186
2026/04/07,47,20.48,23.68,6.94,20.98,20.34,494.9,188
2026/04/07,48,16.50,23.58,7.89,12.96,19.71,662.3,229
2026/04/08,1,19.16,20.00,6.93,19.16,18.52,321.5,127
2026/04/08,2,17.57,23.04,11.00,19.50,15.15,692.0,156
2026/04/08,3,17.17,22.72,6.93,18.98,15.77,609.1,140
2026/04/08,4,17.07,45.00,6.93,19.23,17.94,564.4,128
2026/04/08,5,17.53,45.00,12.77,22.22,18.05,700.0,147
2026/04/08,6,21.08,25.18,8.51,18.83,18.10,621.4,141
2026/04/08,7,21.60,45.00,12.79,19.50,22.15,586.9,147
2026/04/08,8,21.96,45.00,14.85,19.63,23.71,589.2,159
2026/04/08,9,22.75,45.00,0.01,19.91,20.85,681.9,176
2026/04/08,10,24.11,29.51,0.01,24.62,15.92,1054.6,231
2026/04/08,11,24.11,24.64,10.00,24.51,18.00,684.8,194
2026/04/08,12,27.73,28.63,9.13,28.23,18.70,801.2,218
2026/04/08,13,24.61,30.63,10.00,20.85,18.20,933.4,263
2026/04/08,14,21.22,36.22,5.00,20.01,16.72,609.0,170
2026/04/08,15,18.76,21.66,5.00,17.40,12.62,405.4,134
2026/04/08,16,3.95,36.82,2.00,9.21,13.00,660.2,190
2026/04/08,17,13.00,30.00,1.00,8.00,7.40,489.4,192
2026/04/08,18,0.20,30.00,0.01,3.00,8.49,435.2,163
2026/04/08,19,0.20,20.00,0.01,10.00,4.75,806.6,227
2026/04/08,20,0.20,45.00,0.01,12.00,5.34,1924.4,338
2026/04/08,21,0.20,12.00,0.01,2.01,4.34,2444.0,373
2026/04/08,22,0.20,13.01,0.01,8.11,5.06,1155.3,259
2026/04/08,23,0.20,20.00,0.01,13.93,4.84,831.3,242
2026/04/08,24,0.20,20.00,0.01,7.01,5.98,1190.4,274
2026/04/08,25,0.20,12.00,0.01,0.01,3.69,1281.1,267
2026/04/08,26,0.20,12.00,0.01,6.00,3.66,1579.0,287
2026/04/08,27,0.12,20.00,0.01,0.01,2.63,1011.1,266
2026/04/08,28,0.12,10.79,0.01,5.03,5.01,1938.6,341
2026/04/08,29,0.12,16.77,0.01,10.00,5.81,1730.4,303
2026/04/08,30,0.12,25.00,0.01,11.84,5.25,1057.4,277
2026/04/08,31,0.01,41.75,0.01,12.13,7.98,852.8,252
2026/04/08,32,0.01,21.88,0.01,17.40,8.89,820.7,250
2026/04/08,33,10.50,29.87,2.62,17.81,13.03,641.2,214
2026/04/08,34,23.00,29.51,6.85,24.51,19.02,601.3,231
2026/04/08,35,25.64,27.76,8.39,25.74,21.78,500.9,220
2026/04/08,36,35.50,36.10,8.49,35.50,27.73,1136.0,322
2026/04/08,37,35.50,40.00,8.64,20.51,30.31,762.0,207
2026/04/08,38,36.13,40.00,8.00,16.74,32.13,898.3,221
2026/04/08,39,34.69,45.00,8.52,30.68,33.29,699.8,195
2026/04/08,40,35.50,43.90,8.41,43.90,34.16,706.8,192
2026/04/08,41,38.94,40.44,8.61,40.05,34.65,682.0,189
2026/04/08,42,34.65,38.90,8.59,33.00,31.82,582.8,198
2026/04/08,43,35.76,37.25,8.30,27.22,31.42,899.1,226
2026/04/08,44,34.01,35.29,8.16,35.29,28.50,705.2,197
2026/04/08,45,27.93,30.00,8.09,23.24,27.15,545.9,190
2026/04/08,46,25.50,45.00,6.74,20.14,26.98,428.7,176
2026/04/08,47,16.51,26.91,8.48,24.92,22.68,269.8,153
2026/04/08,48,18.59,22.75,8.39,20.01,20.23,273.7,151
2026/04/09,1,19.95,20.34,0.01,19.00,16.50,493.9,133
2026/04/09,2,19.38,20.01,10.27,17.07,17.02,350.9,108
2026/04/09,3,20.00,20.00,9.30,19.22,17.27,293.7,94
2026/04/09,4,18.14,20.40,9.30,20.40,16.45,420.9,105
2026/04/09,5,19.99,23.00,9.39,20.11,19.22,293.0,94
2026/04/09,6,20.32,30.00,0.01,19.94,22.49,1540.2,133
2026/04/09,7,21.49,45.00,8.40,20.08,26.59,828.2,133
2026/04/09,8,21.99,45.01,8.51,19.91,27.09,830.8,130
